,Position 1,Position 2,Position 3,Position 4,Position 5
a,0.05749534450651769,0.14222532588454376,0.12965549348230912,0.07960893854748603,0.035381750465549346
b,0.07774674115456238,0.005121042830540037,0.02397579143389199,0.011405959031657356,0.006284916201117319
c,0.09194599627560521,0.017690875232774673,0.02281191806331471,0.06610800744878957,0.013966480446927373
d,0.04445996275605214,0.007681564245810056,0.032588454376163874,0.027932960893854747,0.06517690875232775
e,0.024208566108007448,0.09334264432029796,0.07378957169459963,0.1398975791433892,0.17364990689013035
f,0.05633147113594041,0.0032588454376163874,0.009776536312849162,0.01722532588454376,0.012569832402234637
g,0.04632216014897579,0.004189944134078212,0.027932960893854747,0.03328677839851024,0.011405959031657356
h,0.03282122905027933,0.06354748603351955,0.005819366852886406,0.015130353817504655,0.05702979515828678
i,0.014199255121042831,0.09031657355679702,0.11080074487895716,0.06634078212290503,0.0111731843575419
j,0.009776536312849162,0.0006983240223463687,0.00186219739292365,0.0013966480446927375,
k,0.012337057728119181,0.004422718808193668,0.007914338919925512,0.02397579143389199,0.04911545623836126
l,0.03840782122905028,0.08705772811918064,0.04981378026070764,0.06215083798882681,0.06238361266294227
m,0.04632216014897579,0.01606145251396648,0.02863128491620112,0.032588454376163874,0.01722532588454376
n,0.017690875232774673,0.031890130353817506,0.06261638733705772,0.07611731843575419,0.05446927374301676
o,0.0148975791433892,0.1319832402234637,0.09846368715083799,0.05842644320297952,0.0335195530726257
p,0.06424581005586592,0.02281191806331471,0.025837988826815643,0.02164804469273743,0.02909683426443203
q,0.011405959031657356,0.002793296089385475,0.0006983240223463687,0.0006983240223463687,
r,0.043761638733705775,0.10986964618249534,0.07332402234636871,0.06401303538175046,0.07774674115456238
s,0.1601489757914339,0.007216014897579144,0.03212290502793296,0.074487895716946,0.024208566108007448
t,0.06797020484171322,0.033752327746741154,0.051675977653631286,0.051675977653631286,0.10381750465549348
u,0.011871508379888268,0.08216945996275606,0.07053072625698324,0.03328677839851024,0.002793296089385475
v,0.015130353817504655,0.004422718808193668,0.02164804469273743,0.019320297951582868,
w,0.03212290502793296,0.019087523277467412,0.01047486033519553,0.009078212290502794,0.005819366852886406
x,0.0013966480446927375,0.005121042830540037,0.006052141527001862,0.0006983240223463687,0.00558659217877095
y,0.005353817504655494,0.010009310986964618,0.010242085661080074,0.0025605214152700185,0.14432029795158285
z,0.0016294227188081937,0.0016294227188081937,0.005353817504655494,0.010009310986964618,0.0023277467411545625
