Word,rank,class
excel,,6
infer,13463.0,6
undue,9949.0,6
prime,780.0,6
sneak,,6
spade,13560.0,6
enjoy,1563.0,6
charm,5741.0,6
irony,6881.0,6
shrug,,6
cling,14895.0,6
rhyme,13751.0,6
cramp,13451.0,6
bland,10798.0,6
voice,329.0,6
brink,11190.0,6
donor,8827.0,6
trait,12875.0,6
gloom,6938.0,6
depth,2982.0,6
crept,9240.0,6
scrap,9465.0,6
yield,3963.0,6
trash,,6
cargo,7425.0,6
squad,3686.0,6
focus,1625.0,6
mount,4906.0,6
rival,3667.0,5
apply,1186.0,5
feast,7359.0,5
unite,12241.0,5
stale,11483.0,5
exist,1767.0,5
glory,4921.0,5
saint,6149.0,5
ruder,,5
merit,7018.0,5
power,251.0,5
asset,3997.0,5
flair,11836.0,5
ample,7516.0,5
shame,5040.0,5
scare,14158.0,5
cater,10750.0,5
spoke,1510.0,4
study,391.0,4
medal,6443.0,4
carry,1029.0,4
fault,2948.0,4
denim,,4
valid,3624.0,4
leave,500.0,4
alike,5200.0,4
doubt,1166.0,4
theme,2459.0,4
chief,880.0,4
treat,12677.0,4
youth,1865.0,4
liver,4724.0,4
field,622.0,4
rusty,12388.0,4
input,2973.0,4
badge,9872.0,4
train,1309.0,4
story,715.0,4
shown,612.0,4
chunk,13641.0,4
found,167.0,4
renew,10889.0,4
tease,13105.0,4
cloth,4248.0,4
vivid,6616.0,4
shake,5193.0,4
pause,4704.0,4
solar,5637.0,4
panic,4261.0,4
query,10625.0,4
judge,1471.0,3
usual,1576.0,3
knock,4904.0,3
woken,10608.0,3
brave,4857.0,3
baker,,3
rainy,14522.0,3
aloud,6744.0,3
catch,2057.0,3
equal,1655.0,3
brisk,10151.0,3
stick,6348.0,3
waste,1533.0,3
label,4605.0,3
unfit,11901.0,3
madam,8946.0,3
awful,3584.0,3
blown,6411.0,3
float,8583.0,3
flood,5913.0,3
peach,12100.0,3
metal,2124.0,3
shine,9110.0,3
olive,8696.0,3
cheek,4583.0,3
comma,,3
chest,2654.0,3
allow,832.0,3
smelt,13406.0,3
ahead,1676.0,3
nasty,5043.0,3
spill,13198.0,3
humor,10951.0,3
elder,5526.0,3
skill,2674.0,3
could,60.0,3
robot,10554.0,3
point,205.0,3
extra,1126.0,2
third,441.0,2
there,38.0,2
spell,4217.0,2
begin,1327.0,2
dream,2195.0,2
foggy,,2
prize,3108.0,2
clown,12586.0,2
twice,1720.0,2
upset,3308.0,2
angry,2390.0,2
album,4032.0,2
black,371.0,2
shall,492.0,2
sweet,3071.0,2
happy,916.0,1
clean,1704.0,1
drive,1180.0,1
photo,6401.0,1
floor,906.0,1
class,521.0,1
night,254.0,1
money,245.0,1
glass,1038.0,1
being,101.0,1
plant,1251.0,1
their,39.0,1
movie,4472.0,1
today,385.0,1
watch,1273.0,1
month,659.0,1
other,68.0,1
those,103.0,1
light,432.0,1
sugar,2771.0,1
drink,1426.0,1
manly,,8
molar,12628.0,7
havoc,12326.0,7
impel,,8
condo,,8
poise,9049.0,7
aorta,,8
lunar,13989.0,7
slate,14804.0,7
taper,,8
chord,9169.0,7
probe,,8
naive,6791.0,7
braid,,8
joust,,8
amber,14302.0,7
adore,14844.0,7
torso,,8
chafe,,8
eject,2471.0,7
tepid,,8
itchy,,8
axiom,,8
avert,,8
glyph,,8
snarl,14160.0,7
maple,12003.0,7
inane,,8
valet,,8
inept,,8
piney,,8
aptly,14641.0,7
waltz,,8
libel,7417.0,7
flout,,8
mummy,8801.0,7
spiel,,8
grove,9376.0,7
quirk,,8
stein,,8
ionic,,8
howdy,,8
vigor,6717.0,7
dandy,,8
sloth,,8
marxh,,8
bough,1319.0,7
sting,12873.0,7
twine,,8
scorn,12958.0,7
scald,,8
usurp,,8
soggy,,8
admit,2656.0,7
grate,13598.0,7
recap,,8
trice,,8
chute,,8
parer,,8
thyme,,8
alpha,13109.0,7
booze,14099.0,7
tibia,,8
lofty,13627.0,7
leery,,8
taunt,,8
whoop,,8
inter,5461.0,7
gully,13549.0,7
fungi,13619.0,7
onset,7423.0,7
gauze,,8
needy,14559.0,7
woven,8952.0,7
twang,,8
gruel,,8
poker,,8
khaki,,8
hunky,,8
glean,,8
patty,,8
smear,14462.0,7
alien,5817.0,7
buggy,,8
coyly,,8
quart,,8
bluff,14830.0,7
stomp,,8
motto,12414.0,7
cinch,,8
elope,,8
midge,,8
tryst,,8
aphid,,8
trite,,8
flock,8733.0,7
wacky,,8
roomy,,8
wedge,11842.0,7
berth,,8
stead,3487.0,7
agape,,8
fluff,14627.0,7
sever,2083.0,7
lilac,,8
egret,,8
pinto,,8
hutch,,8
gawky,,8
droll,,8
retro,,8
beady,,8
smite,,8
gloat,,8
loser,12475.0,7
cacao,,8
apron,10434.0,7
primo,,8
atone,,8
goose,10302.0,7
piety,,8
girth,,8
froth,,8
showy,,8
creak,,8
manor,4333.0,7
atoll,,8
bayou,,8
tiara,,8
vouch,12549.0,7
hinge,,8
gamer,,8
scour,,8
delve,,8
tipsy,,8
slung,,8
farce,13044.0,7
gecko,,8
canny,14826.0,7
midst,8540.0,7
homer,,8
hairy,12034.0,7
forgo,,8
larva,9059.0,7
zesty,,8
heist,,8
askew,,8
inert,12919.0,7
oxide,11131.0,7
foyer,11962.0,7
mince,,8
royal,641.0,7
stair,12442.0,7
foray,,8
natal,,8
shawl,,8
fewer,3008.0,7
trope,,8
snout,,8
lowly,14718.0,7
stove,9158.0,7
nymph,,8
epoxy,,8
depot,8035.0,7
purge,,8
slosh,,8
saute,,8
lapse,14582.0,7
hoard,,8
brine,,8
mourn,13326.0,7
rupee,,8
choke,,8
chant,13514.0,7
bloke,8716.0,7
trove,,8
thorn,,8
tacit,13535.0,7
swill,,8
dodge,,8
caulk,,8
aroma,11990.0,7
cynic,8042.0,7
robin,4602.0,7
ultra,14905.0,7
ulcer,6480.0,7
frame,2950.0,7
aloft,,8
pleat,,8
shard,,8
moist,9401.0,7
wrung,,8
perky,,8
whack,,8
knoll,,8
crimp,,8
wince,14095.0,7
prick,,8
proxy,11968.0,7
shire,13725.0,7
tangy,,8
abbey,4265.0,7
favor ,,8
gorge,11731.0,7
crank,,8
slump,9797.0,7
,,8
,,8
,,8
,,8
